         Abide1             Abode/Abided2                 Abode/Abided/Abidden3         Abides4         Abiding5   

        Alight1            Alit/Alighted2                Alit/Alighted3             Alights4                 Alighting5  

        Arise1             Arose2                        Arisen3                       Arises4                  Arising5      

        Awake1             Awoke2                        Awoken3                       Awakes4                  Awaking5    

        Be1                Was/Were2                     Been3                         Is4                      Being5      

        Bear1              Bore2                         Born/Borne3                   Bears4                   Bearing5   

        Beat1              Beat2                         Beaten3                       Beats4                   Beating5 

        Become1            Became2                       Become3                      Becomes4                 Becoming5 

        Begin1             Began2                        Begun3                        Begins4                  Beginning5 

        Behold1            Beheld2                       Beheld3                       Beholds4                 Beholding5 

        Bend1              Bent2                         Bent3                         Bends4                   Bending5 

        Bet1               Bet2                          Bet3                          Bets4                    Betting5 

       Bid1               Bade2                         Bidden3                       Bids4                    Bidding5 

        Bid1               Bid2                          Bid3                          Bids4                    Bidding5 

        Bind1              Bound2                        Bound3                        Binds4                   Binding5 

        Bite1              Bit2                          Bitten3                       Bites4                   Biting5 

        Bleed1             Bled2                         Bled3                         Bleeds4                  Bleeding5 

        Blow1              Blew2                         Blown3                        Blows4                   Blowing5 

        Break1             Broke2                        Broken3                       Breaks4                  Breaking5 

        Breed1             Bred2                         Bred3                         Breeds4                  Breeding5 

        Bring1             Brought2                      Brought3                      Brings4                  Bringing5 

        Broadcast1   Broadcast/Broadcasted2   Broadcast/Broadcasted3     Broadcasts4     Broadcasting5 

        Build1             Built2                        Built3                        Builds4                  Building5 

        Burn1              Burnt/Burned2                 Burnt/Burned3                 Burns4                   Burning5 

        Burst1             Burst2                        Burst3                        Bursts4                  Bursting5 

        Bust1              Bust2                         Bust3                         Busts4                   Busting5 

        Buy1               Bought2                       Bought3                       Buys4                    Buying5 

        Cast1              Cast2                         Cast3                         Casts4                   Casting5 

        Catch1             Caught2                       Caught3                       Catches4                 Catching5 

        Choose1            Chose2                        Chosen3                       Chooses4                 Choosing5 

        Clap1              Clapped/Clapt2                Clapped/Clapt3                Claps4                   Clapping5 

        Cling1             Clung2                        Clung3                        Clings4                  Clinging5 

        Clothe1            Clad/Clothed2                 Clad/Clothed3                 Clothes4                 Clothing5 

        Come1              Came2                         Come3                         Comes4                   Coming5 

        Cost1              Cost2                         Cost3                         Costs4                   Costing5 

        Creep1             Crept2                        Crept3                        Creeps4                  Creeping5 

        Cut1               Cut2                          Cut3                          Cuts4                    Cutting5 

        Dare1              Dared/Durst2                  Dared3                        Dares4                   Daring5 

        Deal1             Dealt2                        Dealt3                        Deals4                   Dealing5 

        Dig1               Dug2                          Dug3                          Digs4                    Digging5 

        Dive1              Dived/Dove2                   Dived3                        Dives4                   Diving5 

        Do1                Did2                          Done3                         Does4                    Doing5 

        Draw1              Drew2                         Drawn3                        Draws4                   Drawing5 

        Dream1     Dreamt/Dreamed2       Dreamt/Dreamed3               Dreams4                  Dreaming5 

        Drink1             Drank2                        Drunk3                        Drinks4                  Drinking5 

